Gender Statistic Measure,"Females
(India)","Males
(India)","Females
(World)","Males
(World)"
"Withdrawals in a typical month, (% with an account, age 15+)",18.6,12.7,15.5,12.8
"Unemployment, youth (% of labour force ages 15–24, ILO method)",10.6,9.4,15.1,13
"Secondary school education, pupils (%)",46,54,47.6,52.4
"Secondary school education, gender of teachers (% )",41.1,58.9,51.9,48.1
Ratio to males in primary and secondary education (%),0.98,1,0.97,1
"Ratio to male youth unemployment rate (% ages 15–24, ILO method)",1.13,1,1.14,1
"Outstanding loan from banks to purchase a home, (% age 15+)",2.26,2.35,6.6,7.4
"Outstanding loan from banks for health or emergencies, (% age 15+)",12.6,15.7,10.3,11.6
"Lower secondary school completion rate, (%)",76,77.9,70.2,70.5
"Loan from a financial institution in the past year, (% age 15+)",6.7,8.6,8.1,10
"Life expectancy at birth, (years)",68,64.5,72.9,68.7
"Infant mortality rate, (per 1,000 live births)",44.3,43.5,32.6,37
Expected years of schooling,11.3,11.8,11.7,12
"Deposits in a typical month, (% with an account, age 15+)",11.2,13.4,13,12.8
"Cause of death, by non-communicable diseases, ages 15–34, (%)",32.3,33,29.5,27.5
"Account at a formal financial institution, (% of each gender, age 15+)",26.5,43.7,46.6,54.5
